rel,path,N_per_p,n_items,method,coverage,coverage_corrected,mean_se,mean_se_corrected,power,power_corrected,raw_rsb,raw_rsb_corrected,rb,rb_corrected,rmse,rmse_corrected,sb,sb_corrected,type1,type1_corrected,N,N_lab,path_lab,rel_lab
0.9,0,25,5,joint,0,NA,0.042426613903941895,NA,1,NA,-0.6605498007227881,NA,0.7606288743072427,NA,0.7708191942926388,NA,6.085699498531173,NA,1,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.9
0.9,0,25,5,lsam,0,NA,0.0570136133827635,NA,1,NA,-0.5438552904963685,NA,0.7605943990116711,NA,0.7707858097868788,NA,6.085232817258274,NA,1,NA,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.9
0.9,0,25,5,rel,0.944,0.944,0.09714846031201721,0.09715569355233175,0.05600000000000005,0.05600000000000005,-0.03111950524977125,-0.03104736673690034,-0.0010633958147806093,-0.0010633958147806093,0.1002242696142073,0.1002242696142073,-0.01060545334255299,-0.01060545334255299,0.056,0.056,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.9
0.9,0,25,5,tspa,0.944,0.944,0.09707383967133155,0.09708218514215733,0.05600000000000005,0.05600000000000005,-0.03186373269638032,-0.031780501694067986,-0.0010633968063549686,-0.0010633968063549686,0.10022427182742032,0.10022427182742032,-0.010605462998607764,-0.010605462998607764,0.056,0.056,125,italic(N) == 125,\beta_{xm} == 0,rho == 0.9
0.9,0,25,10,gsam,0,NA,0.058521681476457275,NA,1,NA,-0.5893244342791042,NA,0.6903712869606722,NA,0.7049104511834648,NA,4.844676565626259,NA,1,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.9
0.9,0,25,10,joint,0,NA,0.035107787110951555,NA,1,NA,-0.7536384159927934,NA,0.6903936016349443,NA,0.7049331363448391,NA,4.844693308344928,NA,1,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.9
0.9,0,25,10,lsam,0,NA,0.058521681509240905,NA,1,NA,-0.589324429252363,NA,0.6903712885435793,NA,0.704910452397592,NA,4.8446766333200255,NA,1,NA,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.9
0.9,0,25,10,rel,0.943,0.943,0.06862696547835885,0.06862843096512507,0.05700000000000005,0.05700000000000005,-0.01360997676849851,-0.013588913014399795,0.0031900460352930326,0.0031900460352930326,0.06961220039862975,0.06961220039862975,0.04585121257990821,0.04585121257990821,0.057,0.057,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.9
0.9,0,25,10,tspa,0.943,0.943,0.06860296715364084,0.06860465939569278,0.05700000000000005,0.05700000000000005,-0.013954935120607304,-0.013930612165010237,0.0031900455634168803,0.0031900455634168803,0.06961220215996727,0.06961220215996727,0.04585120462068352,0.04585120462068352,0.057,0.057,250,italic(N) == 250,\beta_{xm} == 0,rho == 0.9
0.9,0,25,20,gsam,0,NA,0.06327088746109548,NA,1,NA,-0.556883802770856,NA,0.4959753108321709,NA,0.5160998218204242,NA,3.473551620255541,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,25,20,joint,0,NA,0.034370219629075896,NA,1,NA,-0.759328172650332,NA,0.496148539880989,NA,0.5162727263547728,NA,3.4741987982239086,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,25,20,lsam,0,NA,0.06327088767382054,NA,1,NA,-0.5568838018905893,NA,0.49597531420441116,NA,0.516099825115456,NA,3.4735516390947496,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,25,20,rel,0.951,0.951,0.04770449499500556,0.047704787479306884,0.049000000000000044,0.049000000000000044,-0.005159152880372608,-0.005153053343418534,0.0012661923691485318,0.0012661923691485318,0.047944626819790885,0.047944626819790885,0.026405475820926602,0.026405475820926602,0.049,0.049,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,25,20,tspa,0.951,0.951,0.04769809829918655,0.04769840390396922,0.049000000000000044,0.049000000000000044,-0.005292613113819233,-0.005286239959634398,0.0012661932882653615,0.0012661932882653615,0.04794462983144605,0.04794462983144605,0.026405493341958623,0.026405493341958623,0.049,0.049,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,5,gsam,0,NA,0.028646802031512705,NA,1,NA,-0.7638482416835275,NA,0.757659686159115,NA,0.7672996885277396,NA,6.245816440353769,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,5,joint,0,NA,0.02144640836625596,NA,1,NA,-0.8231945791842395,NA,0.7576563391597829,NA,0.7672952380517359,NA,6.246162321969244,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,5,lsam,0,NA,0.02864680204193682,NA,1,NA,-0.7638482415308607,NA,0.7576596864063856,NA,0.7672996887664892,NA,6.245816444157182,NA,1,NA,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,5,rel,0.956,0.956,0.048960699483747226,0.04896148497422425,0.04400000000000004,0.04400000000000004,0.024210456668019464,0.024226888368723554,0.0015801866852141217,0.0015801866852141217,0.047805573924246815,0.047805573924246815,0.03305597639635706,0.03305597639635706,0.044,0.044,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,5,tspa,0.956,0.956,0.048952113376945154,0.04895298226903701,0.04400000000000004,0.04400000000000004,0.02403078960182148,0.02404896598264572,0.0015801871885184073,0.0015801871885184073,0.04780557645999189,0.04780557645999189,0.03305598518120951,0.03305598518120951,0.044,0.044,500,italic(N) == 500,\beta_{xm} == 0,rho == 0.9
0.9,0,100,10,gsam,0,NA,0.029477097744206922,NA,1,NA,-0.7876165049894159,NA,0.6897307592202812,NA,0.7035427734628373,NA,4.96953365391258,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,10,joint,0,NA,0.01762061638381111,NA,1,NA,-0.8730424319544692,NA,0.689748825398383,NA,0.7035603932413855,NA,4.969680488322402,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,10,lsam,0,NA,0.02947709766506485,NA,1,NA,-0.7876165070614933,NA,0.6897307597564721,NA,0.7035427741819258,NA,4.969533622634122,NA,1,NA,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,10,rel,0.963,0.963,0.034445420470757736,0.034445586185431434,0.03700000000000003,0.03700000000000003,0.05984114851860656,0.0598462473453214,6.869567164847497e-4,6.869567164847497e-4,0.03249155872303506,0.03249155872303506,0.021136771896857958,0.021136771896857958,0.037,0.037,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,10,tspa,0.963,0.963,0.03444278940760381,0.03444297953636576,0.03700000000000003,0.03700000000000003,0.05976008012030154,0.05976593013638509,6.869566581369799e-4,6.869566581369799e-4,0.03249156221477694,0.03249156221477694,0.021136767828267136,0.021136767828267136,0.037,0.037,1000,italic(N) == 1000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,20,gsam,0,NA,0.03213483842034563,NA,1,NA,-0.7704582934731967,NA,0.5056624645752649,NA,0.5246653303735324,NA,3.611987199900385,NA,1,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,20,joint,0,NA,0.016997024000247243,NA,1,NA,-0.8786059354291617,NA,0.5058361671470726,NA,0.5248379773653047,NA,3.612721164365237,NA,1,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,20,lsam,0,NA,0.032134838406106266,NA,1,NA,-0.7704582957089465,NA,0.5056624681784414,NA,0.5246653341931438,NA,3.61198719205771,NA,1,NA,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,20,rel,0.944,0.944,0.023903957706945846,0.023903997997268632,0.05600000000000005,0.05600000000000005,-0.008358938732355159,-0.008357267312963601,4.773761194249691e-4,4.773761194249691e-4,0.024098126773590547,0.024098126773590547,0.01980365626035446,0.01980365626035446,0.056,0.056,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.9
0.9,0,100,20,tspa,0.944,0.944,0.023903143642588585,0.023903184814598123,0.05600000000000005,0.05600000000000005,-0.008392909990210917,-0.00839120199492882,4.773766464100909e-4,4.773766464100909e-4,0.02409813164973238,0.02409813164973238,0.01980367412183943,0.01980367412183943,0.056,0.056,2000,italic(N) == 2000,\beta_{xm} == 0,rho == 0.9
